INSPECTION|SAMPLING_NUMBER|OFFICE|ESTABLISHMENT|SIC|NAICS|CSHO|DATE_SAMPLED|DATE_REPORTED|EIGHTHR|INSTRUMENT|LAB_NUMBER|FIELD_NUMBER|TYPE|BLANK|TIME|AIR_VOLUME|WEIGHT|IMIS|SUBSTANCE|RESULT|UOM|QUALIFIER
1349545|325911|830500|TELLURIDE STONE COMPANY||327991||26-SEP-18|07-NOV-18|N||S22507|03553E|P|N|426|739.4082|.292|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|32|%|
1349545|325913|830500|TELLURIDE STONE COMPANY||327991||26-SEP-18|07-NOV-18|N||S22508|03461E|P|N|390|675.09|.217|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|29|%|
1349545|325915|830500|TELLURIDE STONE COMPANY||327991||26-SEP-18|07-NOV-18|N||S22509|03542E|P|N|415|728.0345|.091|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND
1349545|325916|830500|TELLURIDE STONE COMPANY||327991||26-SEP-18|07-NOV-18|N||S22511|02009E|P|Y|||0|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND-BLK
1349545|325916|830500|TELLURIDE STONE COMPANY||327991||26-SEP-18|07-NOV-18|N||S22510|03291E|P|N|422|736.9808|.095|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|36|%|
1349545|325909|830500|TELLURIDE STONE COMPANY||327991||26-SEP-18|07-NOV-18|N||S22506|03637E|P|N|410|714.22|.428|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|38|%|
1345409|325676|626300|RIVER GRANITE COMPANY||327991||20-SEP-18|02-NOV-18|Y||S22392|02839D|P|N|137|232.9|.045|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND
1345409|325669|626300|RIVER GRANITE COMPANY||327991||20-SEP-18|02-NOV-18|Y||S22391|03283D|P|N|295|501.5|2.123|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|22|%|
1345409|325669|626300|RIVER GRANITE COMPANY||327991||20-SEP-18|02-NOV-18|Y||S22390|02832D|P|N|145|246.5|.027|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND
1345409|325665|626300|RIVER GRANITE COMPANY||327991||20-SEP-18|02-NOV-18|Y||S22389|03294D|P|N|300|510|2.161|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|23|%|
1345409|325676|626300|RIVER GRANITE COMPANY||327991||20-SEP-18|02-NOV-18|Y||S22393|02855D|P|N|300|510|.571|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|24|%|
1345409|325676|626300|RIVER GRANITE COMPANY||327991||20-SEP-18|02-NOV-18|Y||S22394|03273D|P|Y|||0|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND-BLK
1345409|325663|626300|RIVER GRANITE COMPANY||327991||20-SEP-18|02-NOV-18|Y||S22386|03289D|P|N|146|248.2|.233|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|21|%|
1345409|325665|626300|RIVER GRANITE COMPANY||327991||20-SEP-18|02-NOV-18|Y||S22388|03305D|P|N|145|246.5|.318|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|18|%|
1345409|325663|626300|RIVER GRANITE COMPANY||327991||20-SEP-18|02-NOV-18|Y||S22387|02857D|P|N|295|501.5|2.167|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|22|%|
1345540|324996|729700|WICHITA GRANITE AND CABINETRY, INC||327991||18-SEP-18|02-NOV-18|N||S22149|02053E|P|Y|||0|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND-BLK
1345540|324995|729700|WICHITA GRANITE AND CABINETRY, INC||327991||18-SEP-18|02-NOV-18|N||S22146|02039E|P|N|240|409.44|.046|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND
1345540|324996|729700|WICHITA GRANITE AND CABINETRY, INC||327991||18-SEP-18|02-NOV-18|N||S22147|02024E|P|N|184|312.432|.015|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND
1345540|324996|729700|WICHITA GRANITE AND CABINETRY, INC||327991||18-SEP-18|02-NOV-18|N||S22148|02265E|P|N|239|405.822|.029|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND
1345540|324995|729700|WICHITA GRANITE AND CABINETRY, INC||327991||18-SEP-18|02-NOV-18|N||S22145|02023E|P|N|188|320.728|.024|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND
1342690|324470|420600|OASIS MARBLE & GRANITE INC||327991||05-SEP-18|26-SEP-18|N||S22043|04791C|P|N|300|489.6|0|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND
1342690|324470|420600|OASIS MARBLE & GRANITE INC||327991||05-SEP-18|26-SEP-18|N||S22044|04944C|P|Y|||0|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND-BLK
1342690|324469|420600|OASIS MARBLE & GRANITE INC||327991||05-SEP-18|26-SEP-18|N||S22042|04815C|P|N|129|217.107|0|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND
1340487|323593|418100|GRANITE MASTERS, INC.||327991||23-AUG-18|21-SEP-18|N||S21491|Z3867|P|Y|||0|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND-BLK
1340487|323593|418100|GRANITE MASTERS, INC.||327991||23-AUG-18|21-SEP-18|N||S21490|07081D|P|N|514|876.113|1.311|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|16|%|
1340487|323592|418100|GRANITE MASTERS, INC.||327991||23-AUG-18|21-SEP-18|N||S21489|07194D|P|N|500|837.5|8.539|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|16|%|
1340487|323545|418100|GRANITE MASTERS, INC.||327991||23-AUG-18|21-SEP-18|N||S21487|4633A|P|N|511|884.03|.512|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|25|%|
1340487|323590|418100|GRANITE MASTERS, INC.||327991||23-AUG-18|21-SEP-18|N||S21488|03789E|P|N|514|878.94|8.448|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|15|%|
1341508|323598|418100|USDOL OSHA-ATLANTA EAST||327991||23-AUG-18|18-SEP-18|N||S21486|06419C|P|N|530|908.42|0|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND
1327713|322055|111400|ALMEIDA MARBLE & GRANITE, LLC||327991||02-AUG-18|11-SEP-18|N||S20933|03651E|P|N|178|300.82|0|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND
1327713|322055|111400|ALMEIDA MARBLE & GRANITE, LLC||327991||02-AUG-18|11-SEP-18|N||S20932|03647E|P|N|278|469.82|.02|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND
1327713|322048|111400|ALMEIDA MARBLE & GRANITE, LLC||327991||02-AUG-18|11-SEP-18|N||S20935|07459C|P|N|162|281.88|.13|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|25|%|
1327713|322048|111400|ALMEIDA MARBLE & GRANITE, LLC||327991||02-AUG-18|11-SEP-18|N||S20934|07683C|P|N|268|466.32|.301|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|17|%|
1327713|322046|111400|ALMEIDA MARBLE & GRANITE, LLC||327991||02-AUG-18|11-SEP-18|N||S20938|03790E|P|Y|||.01|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND-BLK
1327713|322046|111400|ALMEIDA MARBLE & GRANITE, LLC||327991||02-AUG-18|11-SEP-18|N||S20937|03644E|P|N|164|280.44|.05|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND
1327713|322046|111400|ALMEIDA MARBLE & GRANITE, LLC||327991||02-AUG-18|11-SEP-18|N||S20936|03659E|P|N|268|458.28|.059|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND
1327195|319477|418600|USDOL OSHA - (MOBILE)||327991||02-JUL-18|28-AUG-18|N||S19959|08821E|P|N|480|802.704|0|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND
1326043|319454|418600|COMPLETE STONE WORK, LLC||327991||02-JUL-18|28-AUG-18|N||S19960|01127C|P|N|480|844.704|.033|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND
1326043|319457|418600|COMPLETE STONE WORK, LLC||327991||02-JUL-18|28-AUG-18|N||S19961|01175C|P|N|480|793.296|.067|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND
1326043|319457|418600|COMPLETE STONE WORK, LLC||327991||02-JUL-18|28-AUG-18|N||S19962|01454C|P|Y|||.01|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND-BLK
1324635|317646|626600|CARRERA HOME SERVICES, INC.||327991||21-JUN-18|18-JUL-18|N||S19742|07659E|P|N|482|819.4|.189|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|9.5|%|
1324635|317646|626600|CARRERA HOME SERVICES, INC.||327991||21-JUN-18|18-JUL-18|N||S19743|02033E|P|Y|||.013|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND-BLK
1324635|317644|626600|CARRERA HOME SERVICES, INC.||327991||21-JUN-18|18-JUL-18|N||S19741|07915E|P|N|482|819.4|.09|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|12|%|
1324635|317642|626600|CARRERA HOME SERVICES, INC.||327991||21-JUN-18|18-JUL-18|N||S19740|02034E|P|N|477|810.9|.034|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND
1324635|317641|626600|CARRERA HOME SERVICES, INC.||327991||21-JUN-18|18-JUL-18|N||S19739|07919E|P|N|476|809.2|.081|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND
1309947|315689|214500|ALL GRANITE AND MARBLE CORP.||327991||11-JUN-18|10-JUL-18|Y||S19259|04542E|P|N|458|779.974|.022|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND
1309947|315692|214500|ALL GRANITE AND MARBLE CORP.||327991||11-JUN-18|10-JUL-18|Y||S19260|2218A|P|N|454|774.978|0|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND
1309947|315692|214500|ALL GRANITE AND MARBLE CORP.||327991||11-JUN-18|10-JUL-18|Y||S19261|8631A|P|Y|||0|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND-BLK
1309728|309333|523300|MIDWEST ROCK TOPS, LLC||327991||03-MAY-18|05-JUN-18|N||S17974|05868E|P|N|409|710.842|.26|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|19|%|
1309728|309335|523300|MIDWEST ROCK TOPS, LLC||327991||03-MAY-18|05-JUN-18|N||S17975|06124E|P|N|396|707.652|.181|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|15|%|
1309728|309337|523300|MIDWEST ROCK TOPS, LLC||327991||03-MAY-18|05-JUN-18|N||S17976|05904C|P|N|83|142.511|.037|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|39|%|<=
1309728|309337|523300|MIDWEST ROCK TOPS, LLC||327991||03-MAY-18|05-JUN-18|N||S17977|04960E|P|Y|||0|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND-BLK
1309728|309331|523300|MIDWEST ROCK TOPS, LLC||327991||03-MAY-18|05-JUN-18|N||S17973|05933C|P|N|403|703.638|.244|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|32|%|
1309287|309446|522500|WALLSTONE, LLC||327991||26-APR-18|30-MAY-18|N||S17957|05424D|P|Y|||.034|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND-BLK
1309287|309446|522500|WALLSTONE, LLC||327991||26-APR-18|30-MAY-18|N||S17956|05174E|P|N|460|759|.106|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|16|%|
1309287|309445|522500|WALLSTONE, LLC||327991||26-APR-18|30-MAY-18|N||S17955|05086E|P|N|480|796.8|.109|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|23|%|
1296460|306812|625700|CLASSIC STONE COMPANY||327991||28-MAR-18|11-MAY-18|Y||S17130|8559A|P|N|485|805.1|.062|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND
1296460|306812|625700|CLASSIC STONE COMPANY||327991||28-MAR-18|11-MAY-18|Y||S17131|9130A|P|Y|||.033|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND-BLK
1296460|306813|625700|CLASSIC STONE COMPANY||327991||28-MAR-18|11-MAY-18|Y||S17126|8543A|P|N|482|819.4|.026|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND
1296460|306811|625700|CLASSIC STONE COMPANY||327991||28-MAR-18|11-MAY-18|Y||S17129|8645A|P|N|484|847|.164|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|13|%|
1296460|306809|625700|CLASSIC STONE COMPANY||327991||28-MAR-18|11-MAY-18|Y||S17128|8655A|P|N|486|826.2|0|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|0|%|ND
1296460|306808|625700|CLASSIC STONE COMPANY||327991||28-MAR-18|11-MAY-18|Y||S17127|8652A|P|N|485|814.8|1.04|9010|SILICA, CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|22|%|
1257549|287069|317500|JONES STONE & MARBLE	 INC.||327991||13-DEC-17|16-JAN-18|N||S12517|03015E|P|N|387|677.25|1.054|9010|SILICA	 CRYSTALLINE QUARTZ (RESPIRABLE FRACTION)|19|%|			
